term_id,term,document_ids
207,polyphenol,6
208,grapevin,6
209,trellis,6
210,franc,6
211,itali,6
212,spain,6
213,chile,6
214,plate,6
215,chees,6
216,roast,6
217,industri,6
218,civil,6
219,around,7
220,intrigu,7
221,adventur,7
222,eater,7
223,expand,7
224,horizon,7
225,notabl,7
226,dragon,7
227,speckl,7
228,rambutan,7
229,hairi,7
230,durian,7
231,infam,7
232,pungent,7
233,odor,7
234,creami,7
235,starfruit,7
236,star,7
237,slice,7
238,wateri,7
239,lyche,7
240,bumpi,7
241,fragrant,7
242,hold,7
243,nativ,7
244,king,7
245,dragonfruit,7
246,promin,7
247,asian,7
248,market,7
249,vari,7
250,betalain,7
251,novel,7
252,perish,7
253,restrict,7
254,increas,7
255,gradual,7
256,price,7
257,creativ,7
258,fusion,7
259,attract,7
260,enthusiast,7
261,seek,7
262,broaden,7
263,perspect,7
264,sensori,7
265,earth,7
266,pomegran,8
267,rubi,8
268,aril,8
269,thick,8
270,leatheri,8
271,hundr,8
272,organ,8
273,compart,8
274,crunchi,8
275,jewel,8
276,rank,8
277,punicalagin,8
278,suggest,8
279,reduct,8
280,cellular,8
281,oxid,8
282,stress,8
283,histor,8
284,millennia,8
285,mytholog,8
286,symbol,8
287,prosper,8
288,abund,8
289,religi,8
290,avoid,8
291,pith,8
292,submerg,8
293,facilit,8
294,eaten,8
295,garnish,8
296,middl,8
297,eastern,8
298,molass,8
299,depth,8
300,drought,8
301,toler,8
302,establish,8
303,iran,8
304,superfruit,8
305,deserv,8
306,appreci,8
307,revolution,9
308,wa,9
309,semin,9
310,paper,9
311,vaswani,9
312,et,9
313,al,9
314,replac,9
315,recurr,9
316,self,9
317,weigh,9
318,multi,9
319,head,9
320,attend,9
321,subspac,9
322,inject,9
323,sinc,9
324,notion,9
325,feed,9
326,forward,9
327,appli,9
328,ident,9
329,layer,9
330,stabil,9
331,converg,9
332,sever,9
333,scalabl,9
334,billion,9
335,t5,9
336,upon,9
337,question,9
338,answer,9
339,even,9
340,modal,9
341,imag,9
342,nlp,9
343,unpreced,9
344,skill,10
345,elicit,10
346,desir,10
347,modifi,10
348,clariti,10
349,unambigu,10
350,lead,10
351,thought,10
352,role,10
353,plai,10
354,case,10
355,experiment,10
356,systemat,10
357,reus,10
358,share,10
359,member,10
360,evolv,10
361,disciplin,10
362,unlock,10
363,preprocess,11
364,break,11
365,unit,11
366,block,11
367,choic,11
368,significantli,11
369,split,11
370,whitespac,11
371,punctuat,11
372,per,11
373,charact,11
374,subword,11
375,vocabulari,11
376,bpe,11
377,wordpiec,11
378,sentencepiec,11
379,byte,11
380,merg,11
381,likelihood,11
382,frequenc,11
383,struggl,11
384,morpholog,11
385,variat,11
386,veri,11
387,predominantli,11
388,newer,11
389,adopt,11
390,agnost,11
391,abil,11
392,augment,12
393,discuss,12
394,extern,12
395,parametr,12
396,date,12
397,search,12
398,synthes,12
399,repositori,12
400,api,12
401,embed,12
402,queri,12
403,match,12
404,rerank,12
405,option,12
406,hallucin,12
407,attribut,12
408,dynam,12
409,retrain,12
410,fact,12
411,intens,12
412,valuabl,12
413,enterpris,12
414,pinecon,12
415,weaviat,12
416,chroma,12
417,sentenc,12
418,semant,12
419,accur,12
420,factual,12
421,gap,12
422,static,12
423,compar,13
424,meet,13
425,perplex,13
426,lower,13
427,bleu,13
428,gram,13
429,overlap,13
430,refer,13
431,roug,13
432,recal,13
433,orient,13
434,f1,13
435,precis,13
436,ratio,13
437,total,13
438,fair,13
439,judg,13
440,captur,13
441,nuanc,13
442,aspect,13
443,difficult,13
444,due,13
445,subject,13
446,criteria,13
447,valid,13
448,complementari,13
449,comprehens,13
450,appropri,13
451,reliabl,13
452,window,14
453,constraint,14
454,predetermin,14
455,quadrat,14
456,memori,14
457,gpu,14
458,scheme,14
459,ani,14
460,extens,14
461,must,14
462,workaround,14
463,chunk,14
464,slide,14
465,spars,14
466,claud,14
467,100k,14
468,32k,14
469,variant,14
470,strategi,14
471,hierarch,14
472,care,14
473,maxim,14
474,push,14
475,boundari,14
476,adapt,15
477,recognit,15
478,happen,15
479,sole,15
480,transfer,15
481,rapid,15
482,prototyp,15
483,deploy,15
484,label,15
485,still,15
486,safeti,16
487,align,16
488,ai,16
489,concern,16
490,deploi,16
491,behav,16
492,accord,16
493,intent,16
494,safe,16
495,benefici,16
496,increasingli,16
497,harm,16
498,offens,16
499,danger,16
500,mislead,16
501,bia,16
502,amplif,16
503,bias,16
504,amplifi,16
505,misalign,16
506,diverg,16
507,attack,16
508,carefulli,16
509,bypass,16
510,unpredict,16
511,aris,16
512,reinforc,16
513,feedback,16
514,rlhf,16
515,constitut,16
516,vulner,16
517,filter,16
518,loop,16
519,monitor,16
520,dashboard,16
521,fallback,16
522,innov,16
523,ethic,16
524,collabor,16
525,govern,16
526,societi,16
527,matric,17
528,rectangular,17
529,arrai,17
530,scalar,17
531,cannot,17
532,matrix,17
533,transpos,17
534,flip,17
535,row,17
536,column,17
537,eigenvalu,17
538,eigenvector,17
539,invari,17
540,quantum,17
541,satisfi,17
542,simultan,17
543,gaussian,17
544,elimin,17
545,invers,17
546,multidimension,17
547,calculu,18
548,differenti,18
549,rate,18
550,chang,18
551,slope,18
552,instantan,18
553,rule,18
554,quotient,18
555,equal,18
556,undefin,18
557,veloc,18
558,acceler,18
559,margin,18
560,descent,18
561,backpropag,18
562,second,18
563,curvatur,18
564,maxima,18
565,minima,18
566,saddl,18
567,multivari,18
568,partial,18
569,steepest,18
570,ascent,18
571,random,19
572,possibl,19
573,event,19
574,subset,19
575,assign,19
576,axiom,19
577,neg,19
578,given,19
579,anoth,19
580,whose,19
581,occurr,19
582,poisson,19
583,countabl,19
584,exponenti,19
585,bay,19
586,probabilist,19
587,bayesian,19
588,belief,19
589,game,19
590,naiv,19
591,classifi,19
592,integ,20
593,purest,20
594,surpris,20
595,prime,20
596,greater,20
597,divis,20
598,onli,20
599,factor,20
600,greatest,20
601,divisor,20
602,gcd,20
603,largest,20
604,divid,20
605,two,20
606,modular,20
607,arithmet,20
608,remaind,20
609,congruenc,20
610,asymptot,20
611,show,20
612,less,20
613,get,20
614,approxim,20
615,ln,20
616,rsa,20
617,ellipt,20
618,hash,20
619,pseudorandom,20
620,error,20
621,famou,20
622,unsolv,20
623,riemann,20
624,goldbach,20
625,conjectur,20
626,alongsid,20
627,fermat,20
628,last,20
629,secur,20
630,graph,21
631,entiti,21
632,invalu,21
633,social,21
634,transport,21
635,molecular,21
636,vertic,21
637,node,21
638,edg,21
639,vs,21
640,undirect,21
641,direction,21
642,weight,21
643,associ,21
644,numer,21
645,path,21
646,cycl,21
647,start,21
648,end,21
649,vertex,21
650,exist,21
651,acycl,21
652,seven,21
653,königsberg,21
654,euler,21
655,shortest,21
656,dijkstra,21
657,rout,21
658,adjac,21
659,influenti,21
660,internet,21
661,chemic,21
662,informat,21
663,molecul,21
664,cover,22
665,interpret,22
666,busi,22
667,analyt,22
668,descript,22
669,tendenc,22
670,mean,22
671,median,22
672,mode,22
673,varianc,22
674,deviat,22
675,interquartil,22
676,inferenti,22
677,claim,22
678,popul,22
679,confid,22
680,interv,22
681,estim,22
682,strength,22
683,null,22
684,phenomena,22
685,trial,22
686,correl,22
687,regress,22
688,predictor,22
689,tech,22
690,compani,22
691,clinic,22
692,medicin,22
693,control,22
694,manufactur,22
695,insight,22
696,driven,22
697,geometri,23
698,euclidean,23
699,spatial,23
700,greek,23
701,manipul,23
702,name,23
703,euclid,23
704,flat,23
705,line,23
706,plane,23
707,angl,23
708,polygon,23
709,postul,23
710,distinguish,23
711,geometr,23
712,triangl,23
713,three,23
714,side,23
715,sum,23
716,circl,23
717,equidist,23
718,center,23
719,figur,23
720,straight,23
721,coordin,23
722,descart,23
723,unifi,23
724,distanc,23
725,formula,23
726,midpoint,23
727,rotat,23
728,certain,23
729,robot,23
730,aid,23
731,geograph,23
732,navig,23
733,leverag,23
734,logic,24
735,boolean,24
736,proposit,24
737,predic,24
738,combinator,24
739,permut,24
740,seri,24
741,map,24
742,procedur,24
743,proof,24
744,induct,24
745,statement,24
746,contradict,24
747,assum,24
748,opposit,24
749,absurd,24
750,follow,24
751,term,24
752,simpler,24
753,version,24
754,eleg,24
755,solut,24
756,compil,24
757,construct,24
758,protocol,24
759,digit,24
760,circuit,24
761,among,0;8
762,wide,0;4
763,prize,0;8
764,perfect,0;5
765,acid,0;1
766,cook,0;7
767,slightli,0;1
768,bitter,0;8
769,breakfast,0;1
770,sourc,0;12
771,immun,0;3
772,dietari,0;7
773,subtrop,0;7
774,soil,0;1
775,adequ,0;1
776,mediterranean,0;6
777,beyond,0;3
778,add,0;8
779,marinad,0;8
780,concentr,0;3
781,stapl,0;4
782,agricultur,0;2
783,vibrant,1;7
784,except,1;8
785,densiti,1;20
786,botan,1;7
787,larger,1;20
788,often,1;20
789,anthocyanin,1;8
790,respons,1;12
791,deep,1;9
792,inflamm,1;8
793,prefer,1;16
794,jam,1;3
795,bake,1;4
796,frozen,1;3
797,exot,2;7
798,near,2;20
799,stone,2;3
800,spiki,2;7
801,dens,2;4
802,fill,2;8
803,phytonutri,2;7
804,occur,2;19
805,southeast,2;7
806,asia,2;7
807,central,2;22
808,enjoi,2;5
809,intern,2;7
810,delight,2;3
811,also,3;20
812,surround,3;8
813,white,3;7
814,cluster,3;6
815,mildli,3;4
816,extend,3;18
817,sugar,3;6
818,pi,3;4
819,savori,3;4
820,especi,3;4
821,grill,3;5
822,consum,4;5
823,crisp,4;7
824,thin,4;6
825,dai,4;5
826,yield,4;10
827,india,4;8
828,storag,4;5
829,store,4;5
830,complement,4;6
831,healthi,4;5
832,earn,4;8
833,statu,4;8
834,refresh,5;8
835,hot,5;8
836,pink,5;7
837,vine,5;6
838,spread,5;22
839,time,5;15
840,within,5;14
841,econom,6;18
842,smaller,6;11
843,higher,6;18
844,convert,6;12
845,style,6;15
846,link,6;21
847,rare,7;11
848,transluc,7;8
849,shape,7;23
850,featur,7;8
851,remain,7;23
852,food,7;8
853,new,7;15
854,experi,7;19
855,ancient,8;23
856,celebr,8;20
857,art,8;23
858,score,8;13
859,separ,8;9
860,onc,8;14
861,attent,9;14
862,compon,9;12
863,allow,9;15
864,word,9;11
865,represent,9;12
866,posit,9;14
867,inher,9;13
868,advantag,9;12
869,parallel,9;23
870,handl,9;11
871,shift,9;15
872,craft,10;16
873,clear,10;15
874,instruct,10;15
875,relev,10;12
876,background,10;14
877,exampl,10;15
878,shot,10;15
879,format,10;15
880,help,10;13
881,refin,10;12
882,chain,10;18
883,tune,10;15
884,specif,10;13
885,success,10;22
886,team,10;16
887,fine,10;15
888,step,11;24
889,impact,11;14
890,longer,11;14
891,frequent,11;20
892,rather,11;24
893,simpl,11;13
894,current,11;12
895,length,11;14
896,retriev,12;14
897,rag,12;14
898,advanc,12;14
899,address,12;16
900,databas,12;24
901,metric,13;21
902,assess,13;19
903,classif,13;15
904,correct,13;20
905,recent,13;14
906,human,13;16
907,adversari,13;16
908,singl,13;15
909,dataset,13;15
910,consid,13;14
911,user,13;16
912,standard,13;22
913,defin,14;23
914,fix,14;22
915,convers,14;15
916,code,14;20
917,mitig,14;16
918,recurs,14;24
919,ongo,14;16
920,emerg,15;16
921,pre,15;16
922,gradient,15;18
923,linear,17;22
924,branch,17;20
925,scientif,17;22
926,list,17;24
927,close,17;23
928,independ,17;19
929,express,17;24
930,basi,17;24
931,span,17;21
932,reveal,17;22
933,neural,17;18
934,deriv,18;24
935,physic,18;23
936,minimum,18;21
937,whether,18;21
938,quantit,18;19
939,artifici,18;19
940,intellig,18;19
941,probabl,19;22
942,quantifi,19;22
943,uncertainti,19;22
944,statist,19;22
945,sampl,19;22
946,outcom,19;22
947,discret,19;24
948,binomi,19;22
949,theorem,19;20
950,relat,19;24
951,evid,19;22
952,rigor,19;22
953,cryptographi,20;24
954,themselv,20;24
955,theoret,20;24
956,hypothesi,20;22
957,prove,20;24
958,connect,21;23
959,analyz,21;22
960,definit,21;24
961,degre,21;23
962,hypothes,22;24
963,count,22;24
964,known,0;1;5
965,tangi,0;2;8
966,eat,0;4;6
967,cuisin,0;4;7
968,consumpt,0;3;6
969,reduc,0;1;12
970,risk,0;16;19
971,tropic,0;2;7
972,water,0;5;8
973,california,0;6;8
974,serv,0;5;11
975,tast,0;3;7
976,type,1;6;15
977,belov,1;3;7
978,sauc,1;4;8
979,level,1;11;15
980,particularli,1;12;18
981,low,1;3;5
982,calori,1;3;5
983,rich,1;2;8
984,dure,1;9;12
985,winter,1;4;8
986,smoothi,1;2;5
987,warm,2;5;6
988,smooth,2;3;5
989,exterior,2;5;7
990,black,2;5;6
991,curv,2;18;20
992,conveni,2;4;6
993,aromat,2;3;5
994,digest,2;3;4
995,inspir,2;7;21
996,round,2;3;7
997,avail,2;3;7
998,call,3;11;20
999,rang,3;9;22
1000,typic,3;6;15
1001,summer,3;5;6
1002,though,3;7;14
1003,dry,3;6;8
1004,creat,3;11;12
1005,pair,3;11;21
1006,prepar,3;6;8
1007,remark,4;7;8
1008,appear,4;7;8
1009,green,4;5;6
1010,balanc,4;11;13
1011,reflect,4;16;23
1012,cool,4;5;8
1013,snack,4;5;6
1014,flexibl,4;11;15
1015,proper,5;13;22
1016,ensur,5;13;16
1017,signific,6;7;8
1018,challeng,7;13;16
1019,non,7;19;23
1020,tradit,8;13;15
1021,extract,8;15;22
1022,architectur,9;12;23
1023,form,9;19;24
1024,pure,9;12;20
1025,kei,9;16;23
1026,encod,9;11;14
1027,token,9;11;14
1028,normal,9;19;22
1029,paramet,9;10;15
1030,bert,9;11;12
1031,build,9;11;12
1032,translat,9;13;23
1033,paradigm,9;12;15
1034,prompt,10;14;15
1035,effect,10;11;14
1036,involv,10;17;20
1037,input,10;11;16
1038,output,10;11;13
1039,without,10;12;15
1040,principl,10;16;20
1041,iter,10;11;17
1042,zero,10;15;18
1043,best,10;11;13
1044,develop,10;13;14
1045,cost,10;14;18
1046,basic,11;19;20
1047,effici,11;12;14
1048,maximum,11;14;18
1049,affect,11;14;19
1050,knowledg,12;14;15
1051,infer,12;15;19
1052,vector,12;17;18
1053,work,12;14;21
1054,real,12;19;20
1055,evalu,13;16;22
1056,decis,13;19;22
1057,predict,13;21;22
1058,complex,14;15;24
1059,minim,15;16;17
1060,pattern,15;22;24
1061,reli,15;20;21
1062,object,16;23;24
1063,identifi,16;21;22
1064,framework,16;17;19
1065,algebra,17;23;24
1066,graphic,17;19;23
1067,set,17;19;24
1068,oper,17;21;23
1069,determin,17;18;21
1070,underpin,17;19;24
1071,field,17;18;20
1072,solv,17;20;24
1073,indispens,17;18;22
1074,variabl,18;19;22
1075,distribut,19;20;22
1076,analysi,19;21;22
1077,reason,19;23;24
1078,abstract,20;21;23
1079,technolog,22;23;24
1080,tree,0;4;8;21
1081,high,0;1;5;7
1082,global,0;2;4;7
1083,orang,0;2;3;5
1084,beverag,0;2;7;8
1085,popular,0;1;2;4
1086,fiber,0;1;3;4
1087,mai,0;1;3;16
1088,region,0;2;6;7
1089,profil,0;2;5;7
1090,differ,1;6;9;21
1091,technic,1;14;16;17
1092,contain,1;3;6;8
1093,heart,1;4;6;8
1094,temper,1;2;3;4
1095,enhanc,1;2;6;12
1096,preserv,1;3;4;23
1097,produc,2;4;6;8
1098,equat,2;17;20;23
1099,uniqu,2;5;6;7
1100,dri,2;3;4;6
1101,trade,2;7;10;11
1102,depend,3;9;13;15
1103,long,4;9;11;14
1104,qualiti,4;13;15;22
1105,addit,4;6;17;19
1106,cultur,4;6;7;8
1107,need,5;9;13;21
1108,space,5;17;19;23
1109,classic,5;20;21;23
1110,train,6;9;15;16
1111,demonstr,7;10;15;20
1112,research,8;14;21;22
1113,transform,9;14;17;23
1114,introduc,9;18;20;24
1115,mechan,9;14;15;17
1116,ha,9;10;19;20
1117,order,9;17;18;24
1118,better,9;10;12;13
1119,gpt,9;11;13;14
1120,summar,9;13;14;22
1121,capabl,9;10;15;16
1122,perform,9;11;13;15
1123,design,10;20;23;24
1124,critic,10;13;16;18
1125,becom,10;11;16;20
1126,core,10;17;21;24
1127,result,10;12;19;20
1128,accuraci,10;12;13;15
1129,guid,10;13;16;18
1130,behavior,10;15;16;18
1131,find,10;17;18;21
1132,updat,12;15;16;19
1133,multipl,13;17;18;20
1134,scale,14;16;17;23
1135,point,15;17;18;23
1136,collect,15;17;21;22
1137,direct,17;18;21;24
1138,problem,17;20;21;24
1139,describ,18;19;20;22
1140,theori,19;20;21;24
1141,properti,20;21;23;24
1142,cultiv,0;2;4;6;8
1143,juici,0;1;2;3;4
1144,juic,0;1;2;4;8
1145,tart,0;1;3;4;8
1146,similar,0;1;3;11;12
1147,distinct,0;1;2;6;8
1148,small,0;1;2;3;7
1149,potassium,0;2;3;5;6
1150,thrive,0;1;3;6;8
1151,protect,0;2;5;7;8
1152,major,0;2;4;6;8
1153,delici,0;1;4;5;6
1154,worldwid,0;2;3;4;5
1155,color,1;3;6;8;21
1156,condit,1;4;5;8;19
1157,dish,1;2;3;4;8
1158,salad,1;4;5;6;8
1159,natur,1;9;21;22;24
1160,yellow,2;3;4;5;7
1161,seed,2;3;5;6;8
1162,access,2;7;10;12;15
1163,improv,4;9;10;14;15
1164,process,4;9;11;14;15
1165,red,5;6;7;8;16
1166,size,5;11;14;15;23
1167,world,6;7;12;20;22
1168,foundat,6;9;18;19;24
1169,structur,8;10;15;21;24
1170,continu,8;14;16;19;24
1171,network,9;17;18;21;24
1172,task,9;12;13;14;15
1173,engin,10;14;17;18;23
1174,context,10;12;13;14;15
1175,approach,10;11;13;14;18
1176,practic,10;13;20;23;24
1177,test,10;13;16;18;22
1178,implement,11;12;14;16;24
1179,crucial,11;13;14;17;19
1180,bridg,12;20;21;23;24
1181,tool,13;18;19;23;24
1182,number,14;17;20;21;24
1183,concept,17;18;19;20;23
1184,relationship,17;20;21;22;23
1185,common,0;3;10;11;14;20
1186,function,0;1;3;18;20;24
1187,skin,0;3;4;6;7;8
1188,variou,0;3;4;6;9;24
1189,antioxid,0;1;3;4;6;8
1190,product,0;2;6;15;16;18
1191,dessert,0;1;2;5;7;8
1192,versatil,1;3;4;8;10;15
1193,textur,1;2;3;4;7;8
1194,mani,1;2;7;8;11;22
1195,flesh,2;3;4;5;7;8
1196,across,4;6;7;9;11;22
1197,optim,5;10;11;17;18;21
1198,limit,7;10;12;14;15;18
1199,text,8;9;10;11;13;14
1200,base,9;10;12;13;19;22
1201,sequenc,9;11;13;14;21;24
1202,inform,9;10;12;16;23;24
1203,system,12;14;16;17;21;23
1204,data,12;15;16;19;22;24
1205,measur,13;16;17;18;21;22
1206,comput,14;17;20;21;23;24
1207,mathemat,17;19;20;21;23;24
1208,varieti,0;1;3;4;5;6;7
1209,benefit,0;1;4;6;8;9;16
1210,excel,0;1;3;4;5;9;15
1211,support,0;1;2;3;4;6;14
1212,health,0;1;2;3;4;6;8
1213,climat,0;1;2;3;4;6;8
1214,well,0;1;3;4;10;12;13
1215,examin,1;3;6;8;10;14;19
1216,machin,9;13;15;17;18;19;22
1217,understand,10;14;17;18;19;22;23
1218,power,12;15;17;18;20;21;22
1219,studi,13;17;18;20;21;23;24
1220,algorithm,17;18;19;20;21;23;24
1221,scienc,17;19;20;21;22;23;24
1222,vitamin,0;1;2;3;4;5;6;7
1223,content,0;3;4;5;6;7;8;16
1224,culinari,0;1;2;3;4;6;7;8
1225,sweet,0;1;2;3;4;5;7;8
1226,fresh,0;1;2;3;4;5;6;8
1227,import,0;2;3;6;7;9;16;21
1228,method,3;8;11;13;17;19;20;22
1229,llm,9;10;11;12;13;14;15;16
1230,languag,9;10;11;12;13;14;15;16
1231,gener,9;11;12;13;14;15;16;20
1232,learn,9;10;15;16;17;18;19;22
1233,math,17;18;19;20;21;22;23;24
1234,fruit,0;1;2;3;4;5;6;7;8
1235,divers,0;2;4;7;9;10;11;13;15
1236,flavor,0;1;2;3;4;5;6;7;8
1237,nutrit,0;1;2;3;4;5;6;7;8
1238,combin,0;1;3;4;8;9;12;17;24
1239,grow,1;2;3;4;5;6;7;8;10
1240,repres,1;2;6;9;12;15;17;21;23
1241,like,2;8;9;11;12;14;19;20;21
1242,modern,9;11;12;13;17;19;20;22;23
1243,ar,0;3;5;8;12;16;18;21;23;24
1244,valu,0;1;2;4;16;17;18;19;21;22
1245,essenti,0;5;10;13;17;18;19;22;23;24
1246,offer,1;2;3;4;5;6;7;9;11;14
1247,techniqu,6;8;10;12;14;16;17;19;22;24
1248,fundament,11;14;17;18;19;20;21;22;23;24
1249,larg,0;2;5;9;10;11;12;13;14;15;16
1250,enabl,2;9;10;12;14;15;18;19;22;23;24
1251,model,9;10;11;12;13;14;15;16;19;21;22
1252,explor,0;2;4;5;7;9;11;13;15;17;21;23
1253,thei,0;1;2;3;4;5;6;7;8;12;13;20
1254,requir,0;1;4;5;6;8;10;12;13;14;15;16
1255,includ,0;4;6;8;9;10;13;14;17;19;20;22;23;24
1256,make,0;2;3;4;5;6;8;10;15;17;18;19;21;22
1257,us,0;1;3;6;8;10;11;12;13;15;16;17;18;21;22
1258,applic,1;3;8;9;10;12;13;14;15;17;18;19;20;21;22;23;24
1259,provid,0;2;3;4;5;6;7;8;10;11;12;15;17;18;19;21;22;23;24
1260,topic,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
1261,sub,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
1262,thi,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
1263,document,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
1264,conclus,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
